us_state,state,capital,year,premium,pop,lat,lon,Region,Division
MI,Michigan,Lansing,2023,2352,"10,077,331",42.733635,-84.555328,Midwest,East North Central
RI,Rhode Island,Providence,2023,1200,"1,097,379",41.830914,-71.414963,Northeast,New England
NV,Nevada,Carson City,2023,1164,"3,104,614",39.163914,-119.76612,West,Mountain
FL,Florida,Tallahassee,2023,1092,"21,538,187",30.438118,-84.281296,South,South Atlantic
NJ,New Jersey,Trenton,2023,1032,"9,288,994",40.220596,-74.769913,Northeast,Middle Atlantic
DE,Delaware,Dover,2023,1008,"989,948",39.157307,-75.519722,South,South Atlantic
CT,Connecticut,Hartford,2023,960,"3,605,944",41.764046,-72.682198,Northeast,New England
OR,Oregon,Salem,2023,948,"4,237,256",44.938461,-123.0304,West,Pacific
NY,New York,Albany,2023,924,"20,201,249",42.652843,-73.757874,Northeast,Middle Atlantic
MD,Maryland,Annapolis,2023,900,"6,177,224",38.978764,-76.490936,South,South Atlantic
KY,Kentucky,Frankfort,2023,876,"4,505,836",38.186722,-84.875374,South,East South Central
LA,Louisiana,Baton Rouge,2023,876,"4,657,757",30.457069,-91.187393,South,West South Central
UT,Utah,Salt Lake City,2023,792,"3,271,616",40.777477,-111.88824,West,Mountain
AZ,Arizona,Phoenix,2023,768,"7,151,502",33.448143,-112.09696,West,Mountain
MA,Massachusetts,Boston,2023,732,"7,029,917",42.358162,-71.063698,Northeast,New England
IL,Illinois,Springfield,2023,720,"12,812,508",39.798363,-89.654961,Midwest,East North Central
SC,South Carolina,Columbia,2023,720,"5,118,425",34.000343,-81.033211,South,South Atlantic
CO,Colorado,Denver,2023,720,"5,773,714",39.739227,-104.98486,West,Mountain
HI,Hawaii,Honolulu,2023,684,"1,455,271",21.307442,-157.85738,West,Pacific
MN,Minnesota,Saint Paul,2023,684,"5,706,494",44.955097,-93.102211,Midwest,West North Central
MO,Missouri,Jefferson City,2023,672,"6,154,913",38.579201,-92.172935,Midwest,West North Central
NH,New Hampshire,Concord,2023,648,"1,377,529",43.206898,-71.537994,Northeast,New England
WA,Washington,Olympia,2023,636,"7,705,281",47.035805,-122.90501,West,Pacific
GA,Georgia,Atlanta,2023,624,"10,711,908",33.749027,-84.388229,South,South Atlantic
CA,California,Sacramento,2023,600,"39,538,223",38.576668,-121.49363,West,Pacific
VA,Virginia,Richmond,2023,600,"8,631,393",37.538857,-77.43364,South,South Atlantic
OK,Oklahoma,Oklahoma City,2023,600,"3,959,353",35.492207,-97.503342,South,West South Central
AL,Alabama,Montgomery,2023,600,"5,024,279",32.377716,-86.300568,South,East South Central
WV,West Virginia,Charleston,2023,600,"1,793,716",38.336246,-81.612328,South,South Atlantic
TX,Texas,Austin,2023,576,"29,145,505",30.27467,-97.740349,South,West South Central
NC,North Carolina,Raleigh,2023,552,"10,439,388",35.78043,-78.639099,South,South Atlantic
MS,Mississippi,Jackson,2023,540,"2,961,279",32.303848,-90.182106,South,East South Central
NM,New Mexico,Santa Fe,2023,540,"2,117,522",35.68224,-105.93973,West,Mountain
AR,Arkansas,Little Rock,2023,540,"3,011,524",34.746613,-92.288986,South,West South Central
KS,Kansas,Topeka,2023,492,"2,937,880",39.048191,-95.677956,Midwest,West North Central
OH,Ohio,Columbus,2023,492,"11,799,448",39.961346,-82.999069,Midwest,East North Central
AK,Alaska,Juneau,2023,492,"733,391",58.301598,-134.42021,West,Pacific
NE,Nebraska,Lincoln,2023,480,"1,961,504",40.808075,-96.699654,Midwest,West North Central
IN,Indiana,Indianapolis,2023,480,"6,785,528",39.768623,-86.162643,Midwest,East North Central
PA,Pennsylvania,Harrisburg,2023,480,"13,002,700",40.264378,-76.883598,Northeast,Middle Atlantic
ME,Maine,Augusta,2023,468,"1,362,359",44.307167,-69.781693,Northeast,New England
TN,Tennessee,Nashville,2023,444,"6,910,840",36.16581,-86.784241,South,East South Central
MT,Montana,Helena,2023,444,"1,084,225",46.585709,-112.01842,West,Mountain
WI,Wisconsin,Madison,2023,432,"5,893,718",43.074684,-89.384445,Midwest,East North Central
ND,North Dakota,Bismarck,2023,408,"779,094",46.82085,-100.78332,Midwest,West North Central
IA,Iowa,Des Moines,2023,408,"3,190,369",41.591087,-93.603729,Midwest,West North Central
ID,Idaho,Boise,2023,408,"1,839,106",43.617775,-116.19972,West,Mountain
VT,Vermont,Montpelier,2023,384,"643,077",44.262436,-72.580536,Northeast,New England
WY,Wyoming,Cheyenne,2023,372,"576,851",41.140259,-104.82024,West,Mountain
SD,South Dakota,Pierre,2023,336,"886,667",44.367031,-100.34641,Midwest,West North Central